id,label,subTypeOf,equivalentClass,subTypes,supersedes,supersededBy,isPartOf
https://schema.org/MedicalBusiness,MedicalBusiness,https://schema.org/LocalBusiness,,"https://schema.org/CommunityHealth, https://schema.org/Dentist, https://schema.org/Dermatology, https://schema.org/DietNutrition, https://schema.org/Emergency, https://schema.org/Geriatric, https://schema.org/Gynecologic, https://schema.org/MedicalClinic, https://schema.org/Midwifery, https://schema.org/Nursing, https://schema.org/Obstetric, https://schema.org/Oncologic, https://schema.org/Optician, https://schema.org/Optometric, https://schema.org/Otolaryngologic, https://schema.org/Pediatric, https://schema.org/Pharmacy, https://schema.org/Physician, https://schema.org/Physiotherapy, https://schema.org/PlasticSurgery, https://schema.org/Podiatric, https://schema.org/PrimaryCare, https://schema.org/Psychiatric, https://schema.org/PublicHealth",,,
https://schema.org/MedicalCause,MedicalCause,https://schema.org/MedicalEntity,,,,,
https://schema.org/MedicalClinic,MedicalClinic,"https://schema.org/MedicalBusiness, https://schema.org/MedicalOrganization",,https://schema.org/CovidTestingFacility,,,
https://schema.org/MedicalCode,MedicalCode,"https://schema.org/CategoryCode, https://schema.org/MedicalIntangible",,,,,
https://schema.org/MedicalCondition,MedicalCondition,https://schema.org/MedicalEntity,,"https://schema.org/InfectiousDisease, https://schema.org/MedicalSignOrSymptom",,,
https://schema.org/MedicalConditionStage,MedicalConditionStage,https://schema.org/MedicalIntangible,,,,,
https://schema.org/MedicalContraindication,MedicalContraindication,https://schema.org/MedicalEntity,,,,,
https://schema.org/MedicalDevice,MedicalDevice,https://schema.org/MedicalEntity,http://purl.bioontology.org/ontology/SNOMEDCT/63653004,,,,
https://schema.org/MedicalDevicePurpose,MedicalDevicePurpose,https://schema.org/MedicalEnumeration,,,,,
https://schema.org/MedicalEntity,MedicalEntity,https://schema.org/Thing,,"https://schema.org/AnatomicalStructure, https://schema.org/AnatomicalSystem, https://schema.org/DrugClass, https://schema.org/DrugCost, https://schema.org/LifestyleModification, https://schema.org/MedicalCause, https://schema.org/MedicalCondition, https://schema.org/MedicalContraindication, https://schema.org/MedicalDevice, https://schema.org/MedicalGuideline, https://schema.org/MedicalIndication, https://schema.org/MedicalIntangible, https://schema.org/MedicalProcedure, https://schema.org/MedicalRiskEstimator, https://schema.org/MedicalRiskFactor, https://schema.org/MedicalStudy, https://schema.org/MedicalTest, https://schema.org/Substance, https://schema.org/SuperficialAnatomy",,,
https://schema.org/MedicalEnumeration,MedicalEnumeration,https://schema.org/Enumeration,,"https://schema.org/DrugCostCategory, https://schema.org/DrugPregnancyCategory, https://schema.org/DrugPrescriptionStatus, https://schema.org/InfectiousAgentClass, https://schema.org/MedicalAudienceType, https://schema.org/MedicalDevicePurpose, https://schema.org/MedicalEvidenceLevel, https://schema.org/MedicalImagingTechnique, https://schema.org/MedicalObservationalStudyDesign, https://schema.org/MedicalProcedureType, https://schema.org/MedicalSpecialty, https://schema.org/MedicalStudyStatus, https://schema.org/MedicalTrialDesign, https://schema.org/MedicineSystem, https://schema.org/PhysicalExam",,,
https://schema.org/MedicalEvidenceLevel,MedicalEvidenceLevel,https://schema.org/MedicalEnumeration,,,,,
https://schema.org/MedicalGuideline,MedicalGuideline,https://schema.org/MedicalEntity,,"https://schema.org/MedicalGuidelineContraindication, https://schema.org/MedicalGuidelineRecommendation",,,
https://schema.org/MedicalGuidelineContraindication,MedicalGuidelineContraindication,https://schema.org/MedicalGuideline,,,,,
https://schema.org/MedicalGuidelineRecommendation,MedicalGuidelineRecommendation,https://schema.org/MedicalGuideline,,,,,
https://schema.org/MedicalImagingTechnique,MedicalImagingTechnique,https://schema.org/MedicalEnumeration,,,,,
https://schema.org/MedicalIndication,MedicalIndication,https://schema.org/MedicalEntity,,"https://schema.org/ApprovedIndication, https://schema.org/PreventionIndication, https://schema.org/TreatmentIndication",,,
https://schema.org/MedicalIntangible,MedicalIntangible,https://schema.org/MedicalEntity,,"https://schema.org/DDxElement, https://schema.org/DoseSchedule, https://schema.org/DrugLegalStatus, https://schema.org/DrugStrength, https://schema.org/MedicalCode, https://schema.org/MedicalConditionStage",,,
https://schema.org/MedicalObservationalStudy,MedicalObservationalStudy,https://schema.org/MedicalStudy,,,,,
https://schema.org/MedicalObservationalStudyDesign,MedicalObservationalStudyDesign,https://schema.org/MedicalEnumeration,,,,,
https://schema.org/MedicalOrganization,MedicalOrganization,https://schema.org/Organization,,"https://schema.org/Dentist, https://schema.org/DiagnosticLab, https://schema.org/Hospital, https://schema.org/MedicalClinic, https://schema.org/Pharmacy, https://schema.org/Physician, https://schema.org/VeterinaryCare",,,
https://schema.org/MedicalProcedure,MedicalProcedure,https://schema.org/MedicalEntity,http://purl.bioontology.org/ontology/SNOMEDCT/50731006,"https://schema.org/DiagnosticProcedure, https://schema.org/PalliativeProcedure, https://schema.org/PhysicalExam, https://schema.org/SurgicalProcedure, https://schema.org/TherapeuticProcedure",,,
https://schema.org/MedicalProcedureType,MedicalProcedureType,https://schema.org/MedicalEnumeration,,,,,
https://schema.org/MedicalResearcher,MedicalResearcher,,,,,,
https://schema.org/MedicalRiskCalculator,MedicalRiskCalculator,https://schema.org/MedicalRiskEstimator,,,,,
https://schema.org/MedicalRiskEstimator,MedicalRiskEstimator,https://schema.org/MedicalEntity,,"https://schema.org/MedicalRiskCalculator, https://schema.org/MedicalRiskScore",,,
https://schema.org/MedicalRiskFactor,MedicalRiskFactor,https://schema.org/MedicalEntity,,,,,
https://schema.org/MedicalRiskScore,MedicalRiskScore,https://schema.org/MedicalRiskEstimator,,,,,
https://schema.org/MedicalScholarlyArticle,MedicalScholarlyArticle,https://schema.org/ScholarlyArticle,,,,,
https://schema.org/MedicalSign,MedicalSign,https://schema.org/MedicalSignOrSymptom,,https://schema.org/VitalSign,,,
https://schema.org/MedicalSignOrSymptom,MedicalSignOrSymptom,https://schema.org/MedicalCondition,,"https://schema.org/MedicalSign, https://schema.org/MedicalSymptom",,,
https://schema.org/MedicalSpecialty,MedicalSpecialty,"https://schema.org/MedicalEnumeration, https://schema.org/Specialty",,,,,
https://schema.org/MedicalStudy,MedicalStudy,https://schema.org/MedicalEntity,,"https://schema.org/MedicalObservationalStudy, https://schema.org/MedicalTrial",,,
https://schema.org/MedicalStudyStatus,MedicalStudyStatus,https://schema.org/MedicalEnumeration,,,,,
https://schema.org/MedicalSymptom,MedicalSymptom,https://schema.org/MedicalSignOrSymptom,,,,,
https://schema.org/MedicalTest,MedicalTest,https://schema.org/MedicalEntity,,"https://schema.org/BloodTest, https://schema.org/ImagingTest, https://schema.org/MedicalTestPanel, https://schema.org/PathologyTest",,,
https://schema.org/MedicalTestPanel,MedicalTestPanel,https://schema.org/MedicalTest,,,,,
